order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000914,2025-04,Celengan,JAWA BARAT,KOTA SUKABUMI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,9000,1858,1255
ORD_0000915,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA BARAT,Saldo ShopeePay,Reguler (Cashless)-JNE Reguler,17900,10000,1790,1255
ORD_0000916,2025-04,Aksesoris Pintu,JAWA BARAT,KOTA TASIKMALAYA,Saldo ShopeePay,Hemat Kargo-SPX Hemat,15880,11500,1588,1255
ORD_0000919,2025-04,Aksesoris Pintu,JAWA BARAT,KAB. BANDUNG,SPayLater,SPX Hemat,11807,5000,1181,1255
ORD_0000920,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA BARAT,Saldo ShopeePay,Hemat Kargo-SPX Hemat,17770,8000,1777,1255
ORD_0000922,2025-04,Celengan,JAWA BARAT,KOTA BEKASI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,20300,8000,2030,1255
ORD_0000923,2025-04,Celengan,JAWA TIMUR,KAB. SITUBONDO,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,16650,15000,1665,1255
ORD_0000924,2025-04,Aksesoris Pintu,BANTEN,KAB. TANGERANG,Saldo ShopeePay,Hemat Kargo-SPX Hemat,11984,5000,1198,1255
ORD_0000925,2025-04,Keranjang,BANTEN,KAB. SERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,13480,13000,1348,1255
ORD_0000926,2025-04,Celengan,BANTEN,KAB. TANGERANG,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,24920,9500,2492,1255
ORD_0000927,2025-04,Mangkok Sambal / Saus,JAWA TENGAH,KAB. PURWOREJO,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,33240,17000,3324,1255
